Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
11,Farm Team 11,F11,,Division 5,Conference 2,0,0,0,8406720,,44480,56,80,50,False,14,0,E,L2,2,8,0,0,0,0,0,80,20,49,0,3,2,4,2,58,122,181,40,14,20,0,2,2,2,0,67,81,269,47,202,35,2,1426,2027,569,446,509,450,42,39,37,39,10,113777,116200,60544,35443,81510,29868,13,122,208,330,457,1856,1186,2524,989,2083,518,1092,5,
12,Farm Team 12,F12,,Division 2,Conference 1,0,0,0,8665839,,45851,65,80,50,False,2,0,X,OTL1,3,5,0,0,1,0,1,80,27,34,0,9,1,5,4,87,185,192,40,17,15,0,3,1,4,0,99,88,270,46,297,48,1,2058,2109,599,656,695,666,75,64,57,50,20,113466,117866,60719,35518,81884,30488,7,185,323,508,693,1923,1201,2496,1252,2512,545,1085,3,
13,Farm Team 13,F13,,Division 6,Conference 2,0,0,0,8529948,,45132,74,80,50,False,21,0,X,OTL1,4,5,0,0,1,0,0,80,29,31,0,10,6,2,2,90,203,223,40,16,14,0,5,3,0,2,95,104,251,40,259,50,1,2261,2051,633,726,759,733,61,68,63,60,15,111231,118884,61030,35288,83030,30610,4,203,366,569,586,1956,1254,2498,1381,2647,608,1166,2,
14,Farm Team 14,F14,,Division 1,Conference 1,0,0,0,8461719,,44771,63,80,50,False,8,0,E,W1,4,5,0,0,1,0,0,80,25,31,0,5,10,5,4,84,174,185,40,13,13,0,1,7,4,2,94,95,265,40,232,38,1,1944,2038,654,614,663,630,79,54,47,63,13,112744,118635,61492,35238,82171,31163,7,174,309,483,545,1811,1242,2374,1234,2408,563,1108,2,
15,Farm Team 15,F15,,Division 6,Conference 2,0,0,0,9095625,,48125,32,80,50,False,1,0,Z,W2,7,1,0,0,1,0,1,80,48,19,0,4,4,0,5,113,269,174,40,26,7,0,2,0,0,5,142,89,285,62,285,40,6,3003,2070,620,1028,944,1001,47,115,86,64,6,110583,118029,61773,35483,81389,31516,9,269,474,743,685,2090,1267,2645,1570,3104,632,1216,1,
16,Farm Team 16,F16,,Division 3,Conference 1,0,0,0,8115093,,42937,5,80,50,False,11,0,X,L1,6,4,0,0,0,0,0,80,42,23,0,5,4,2,4,106,242,201,40,22,11,0,3,2,1,1,141,109,270,50,284,45,1,2545,2149,626,813,899,793,71,82,88,65,9,113807,115986,61631,35656,79821,31006,6,242,418,660,631,2012,1345,2533,1503,2807,587,1203,0,
17,Farm Team 17,F17,,Division 4,Conference 2,0,0,0,8277822,,43798,57,80,50,False,3,0,X,W3,8,2,0,0,0,0,0,80,38,25,0,3,4,6,4,102,237,200,40,19,15,0,0,3,3,0,115,111,253,36,236,43,0,2362,1999,608,762,817,756,64,92,81,55,13,111546,118249,62234,35553,82185,31694,5,237,416,653,535,1906,1314,2407,1393,2648,623,1190,0,
18,Farm Team 18,F18,,Division 1,Conference 1,0,0,0,7919478,,41902,72,80,50,False,15,0,E,W2,5,3,0,0,1,0,1,80,26,35,0,6,7,3,3,80,161,178,40,16,13,0,4,4,3,0,88,79,262,44,208,33,1,1873,2067,602,605,583,651,60,57,44,51,11,112295,118851,60586,35192,84165,30449,9,161,289,450,495,1699,1314,2525,1165,2330,571,1093,2,
19,Farm Team 19,F19,,Division 5,Conference 2,0,0,0,8241723,,43607,42,80,50,False,16,0,E,L7,2,8,0,0,0,0,0,80,19,47,0,2,4,5,3,59,160,226,40,11,25,0,0,1,1,2,76,115,248,36,257,50,0,1813,2426,707,573,580,624,69,54,51,48,10,121113,109540,60547,35550,74607,29394,5,160,276,436,626,1948,1274,2679,1099,2324,546,1134,2,
20,Farm Team 20,F20,,Division 2,Conference 1,0,0,0,8919288,,47192,45,80,50,False,6,0,Y,W2,7,3,0,0,0,0,0,80,34,30,0,6,7,3,0,93,208,196,40,19,12,0,2,5,2,0,110,93,276,48,351,53,2,2248,2286,693,668,765,773,51,67,68,64,9,118676,111097,60743,35923,75357,30159,7,208,359,567,784,2134,1304,2645,1383,2666,549,1132,2,
21,Farm Team 21,F21,,Division 4,Conference 2,0,0,0,8588538,,45442,33,80,50,False,17,0,E,W1,3,4,0,0,0,0,3,80,26,39,0,3,2,4,6,74,197,227,40,16,16,0,0,2,2,4,100,107,269,44,243,47,1,2211,2132,660,689,672,809,83,70,57,63,12,114471,115636,61462,35577,79576,30622,3,197,358,555,590,2010,1309,2605,1327,2626,606,1185,1,
22,Farm Team 22,F22,,Division 3,Conference 1,0,0,0,7874685,,41665,46,80,50,False,18,0,E,L2,6,3,0,0,1,0,0,80,24,33,0,4,9,8,2,83,177,206,40,11,15,0,1,5,7,1,80,99,246,26,270,38,4,2026,2326,701,686,671,635,76,62,47,56,15,123895,107003,62053,37316,71919,30049,7,177,310,487,607,2003,1312,2715,1211,2435,577,1129,1,
23,Farm Team 23,F23,,Division 5,Conference 2,0,0,0,8250606,,43654,60,80,50,False,24,0,Y,SOL1,6,3,0,0,0,0,1,80,36,31,0,0,2,5,6,90,182,179,40,22,13,0,0,1,1,3,96,84,246,26,213,39,1,1936,1998,573,629,663,621,69,53,53,71,8,111135,118870,61431,35333,83216,30697,8,182,317,499,528,1836,1249,2442,1270,2383,585,1125,1,
24,Farm Team 24,F24,,Division 2,Conference 1,0,0,0,7917966,,41894,11,80,50,False,19,0,X,W2,6,4,0,0,0,0,0,80,30,34,0,9,5,1,1,86,183,194,40,18,18,0,1,2,0,1,86,89,282,41,215,36,2,1947,2107,618,642,654,614,43,64,64,45,11,114510,114868,61091,35436,79945,30296,8,183,316,499,505,1784,1266,2461,1187,2352,615,1143,1,
