Number,Team,Transaction,DateTime,Empty
96,10,Max Blackburn was picked by Team 10 as the 48 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
97,10,Stan Leon was added to Team 10.,2022-07-20 6:13:00 PM,
98,10,Max Blackburn was picked by Team 10 as the 49 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
99,6,Jakovs Pavlovs was added to Team 6.,2022-07-20 6:13:00 PM,
100,6,Max Blackburn was picked by Team 6 as the 50 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
101,12,Gabriel Hewitt was added to Team 12.,2022-07-20 6:13:00 PM,
102,12,Max Blackburn was picked by Team 12 as the 51 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
103,17,Mike Harrell was added to Team 17.,2022-07-20 6:13:00 PM,
104,17,Max Blackburn was picked by Team 17 as the 52 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
105,5,Bertrand Shannon was added to Team 5.,2022-07-20 6:13:00 PM,
106,5,Max Blackburn was picked by Team 5 as the 53 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
107,3,Amer Grip was added to Team 3.,2022-07-20 6:13:00 PM,
108,3,Vernon Kaur was picked by Team 3 as the 54 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
109,19,George Bailey was added to Team 19.,2022-07-20 6:13:00 PM,
110,19,Vernon Kaur was picked by Team 19 as the 55 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
111,9,Mehdi Lonnqvist was added to Team 9.,2022-07-20 6:13:00 PM,
112,9,Vernon Kaur was picked by Team 9 as the 56 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
113,22,Ulrich Rose was added to Team 22.,2022-07-20 6:13:00 PM,
114,22,Vernon Kaur was picked by Team 22 as the 57 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
115,18,Bradley Cross was added to Team 18.,2022-07-20 6:13:00 PM,
116,18,Vernon Kaur was picked by Team 18 as the 58 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
117,8,Vitaly Simonova was added to Team 8.,2022-07-20 6:13:00 PM,
118,8,Vernon Kaur was picked by Team 8 as the 59 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
119,24,Warren Yu was added to Team 24.,2022-07-20 6:13:00 PM,
120,24,Vernon Kaur was picked by Team 24 as the 60 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
121,4,Joseph Bruning was added to Team 4.,2022-07-20 6:13:00 PM,
122,4,Vernon Kaur was picked by Team 4 as the 61 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
123,20,Rashit Mitrofanova was added to Team 20.,2022-07-20 6:13:00 PM,
124,20,Vernon Kaur was picked by Team 20 as the 62 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
125,13,Len Mcmillan was added to Team 13.,2022-07-20 6:13:00 PM,
126,13,Vernon Kaur was picked by Team 13 as the 63 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
127,23,Clarence Guzman was added to Team 23.,2022-07-20 6:13:00 PM,
128,23,Vernon Kaur was picked by Team 23 as the 64 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
129,14,Kevin Jordan was added to Team 14.,2022-07-20 6:13:00 PM,
130,14,Vernon Kaur was picked by Team 14 as the 65 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
131,21,Randy Bourgeois was added to Team 21.,2022-07-20 6:13:00 PM,
132,21,Vernon Kaur was picked by Team 21 as the 66 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
133,7,Malte Lovgren was added to Team 7.,2022-07-20 6:13:00 PM,
134,7,Vernon Kaur was picked by Team 7 as the 67 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
135,15,Frederick Wolfe was added to Team 15.,2022-07-20 6:13:00 PM,
136,15,Vernon Kaur was picked by Team 15 as the 68 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
137,2,Astemir Belykh was added to Team 2.,2022-07-20 6:13:00 PM,
138,2,Vernon Kaur was picked by Team 2 as the 69 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
139,16,Jake Matte was added to Team 16.,2022-07-20 6:13:00 PM,
140,16,Vernon Kaur was picked by Team 16 as the 70 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
141,1,Alexander Prokop was added to Team 1.,2022-07-20 6:13:00 PM,
142,1,Vernon Kaur was picked by Team 1 as the 71 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
143,11,Hasan Hogstrom was added to Team 11.,2022-07-20 6:13:00 PM,
144,11,Vernon Kaur was picked by Team 11 as the 72 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
145,11,Boris Renard was added to Team 11.,2022-07-20 6:13:00 PM,
146,11,Vernon Kaur was picked by Team 11 as the 73 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
147,1,Garrett Stout was added to Team 1.,2022-07-20 6:13:00 PM,
148,1,Vernon Kaur was picked by Team 1 as the 74 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
149,16,Pavel Zotova was added to Team 16.,2022-07-20 6:13:00 PM,
150,16,Vernon Kaur was picked by Team 16 as the 75 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
151,2,Martti Brorsson was added to Team 2.,2022-07-20 6:13:00 PM,
152,2,Vernon Kaur was picked by Team 2 as the 76 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
153,15,Oleg Lampe was added to Team 15.,2022-07-20 6:13:00 PM,
154,15,Vernon Kaur was picked by Team 15 as the 77 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
155,7,Lucas Price was added to Team 7.,2022-07-20 6:13:00 PM,
156,7,Vernon Kaur was picked by Team 7 as the 78 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
157,21,Kirk Manning was added to Team 21.,2022-07-20 6:13:00 PM,
158,21,Vernon Kaur was picked by Team 21 as the 79 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
159,14,Bruno Carroll was added to Team 14.,2022-07-20 6:13:00 PM,
160,14,Vernon Kaur was picked by Team 14 as the 80 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
161,23,Hendrik Rudolph was added to Team 23.,2022-07-20 6:13:00 PM,
162,23,Vernon Kaur was picked by Team 23 as the 81 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
163,13,Rickey Cain was added to Team 13.,2022-07-20 6:13:00 PM,
164,13,Vernon Kaur was picked by Team 13 as the 82 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
165,20,Luc Green was added to Team 20.,2022-07-20 6:13:00 PM,
166,20,Vernon Kaur was picked by Team 20 as the 83 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
167,4,Ryan Lambert was added to Team 4.,2022-07-20 6:13:00 PM,
168,4,Vernon Kaur was picked by Team 4 as the 84 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
169,24,Herman Plamondon was added to Team 24.,2022-07-20 6:13:00 PM,
170,24,Vernon Kaur was picked by Team 24 as the 85 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
171,8,Jared Mercier was added to Team 8.,2022-07-20 6:13:00 PM,
172,8,Vernon Kaur was picked by Team 8 as the 86 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
173,18,Chingis Filatov was added to Team 18.,2022-07-20 6:13:00 PM,
174,18,Vernon Kaur was picked by Team 18 as the 87 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
175,22,Randy Dussault was added to Team 22.,2022-07-20 6:13:00 PM,
176,22,Vernon Kaur was picked by Team 22 as the 88 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
177,9,Manu Ahonen was added to Team 9.,2022-07-20 6:13:00 PM,
178,9,Vernon Kaur was picked by Team 9 as the 89 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
179,19,Atagishi Baranova was added to Team 19.,2022-07-20 6:13:00 PM,
180,19,Vernon Kaur was picked by Team 19 as the 90 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
181,3,Victor Morse was added to Team 3.,2022-07-20 6:13:00 PM,
182,3,Vernon Kaur was picked by Team 3 as the 91 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
183,5,Harry Miles was added to Team 5.,2022-07-20 6:13:00 PM,
184,5,Vernon Kaur was picked by Team 5 as the 92 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
185,17,David Raymond was added to Team 17.,2022-07-20 6:13:00 PM,
186,17,Vernon Kaur was picked by Team 17 as the 93 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
187,12,Lucien Morrow was added to Team 12.,2022-07-20 6:13:00 PM,
188,12,Vernon Kaur was picked by Team 12 as the 94 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
189,6,Daniel Labonte was added to Team 6.,2022-07-20 6:13:00 PM,
190,6,Vernon Kaur was picked by Team 6 as the 95 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
191,10,Sergei Sergeevich was added to Team 10.,2022-07-20 6:13:00 PM,
192,10,Vernon Kaur was picked by Team 10 as the 96 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
193,10,Gavin Simon was added to Team 10.,2022-07-20 6:13:00 PM,
194,10,Vernon Kaur was picked by Team 10 as the 97 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
195,6,Kristofer Ekstrom was added to Team 6.,2022-07-20 6:13:00 PM,
196,6,Vernon Kaur was picked by Team 6 as the 98 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
197,12,Ross Newton was added to Team 12.,2022-07-20 6:13:00 PM,
198,12,Karel David was picked by Team 12 as the 99 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
199,17,Carlos Barrera was added to Team 17.,2022-07-20 6:13:00 PM,
200,17,Karel David was picked by Team 17 as the 100 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
201,5,Sandro Budde was added to Team 5.,2022-07-20 6:13:00 PM,
202,5,Karel David was picked by Team 5 as the 101 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
203,3,Vit Brazdova was added to Team 3.,2022-07-20 6:13:00 PM,
204,3,Karel David was picked by Team 3 as the 102 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
205,19,Will Rowe was added to Team 19.,2022-07-20 6:13:00 PM,
206,19,Karel David was picked by Team 19 as the 103 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
207,9,Gustav Sedlak was added to Team 9.,2022-07-20 6:13:00 PM,
208,9,Karel David was picked by Team 9 as the 104 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
209,22,Giovanni Blanchette was added to Team 22.,2022-07-20 6:13:00 PM,
210,22,Karel David was picked by Team 22 as the 105 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
211,18,Ghislain Hu was added to Team 18.,2022-07-20 6:13:00 PM,
212,18,Karel David was picked by Team 18 as the 106 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
213,8,Darrell Plouffe was added to Team 8.,2022-07-20 6:13:00 PM,
214,8,Karel David was picked by Team 8 as the 107 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
215,24,Albert Bailey was added to Team 24.,2022-07-20 6:13:00 PM,
216,24,Karel David was picked by Team 24 as the 108 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
217,4,Olli-Pekka Niinimaki was added to Team 4.,2022-07-20 6:13:00 PM,
218,4,Karel David was picked by Team 4 as the 109 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
219,20,Gavin Barr was added to Team 20.,2022-07-20 6:13:00 PM,
220,20,Karel David was picked by Team 20 as the 110 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
221,13,Hector Tetreault was added to Team 13.,2022-07-20 6:13:00 PM,
222,13,Karel David was picked by Team 13 as the 111 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
223,23,Yu Girard was added to Team 23.,2022-07-20 6:13:00 PM,
224,23,Karel David was picked by Team 23 as the 112 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
225,14,Carl Mende was added to Team 14.,2022-07-20 6:13:00 PM,
226,14,Karel David was picked by Team 14 as the 113 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
227,21,Robt Muir was added to Team 21.,2022-07-20 6:13:00 PM,
228,21,Karel David was picked by Team 21 as the 114 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
229,7,Jacob Parker was added to Team 7.,2022-07-20 6:13:00 PM,
230,7,Karel David was picked by Team 7 as the 115 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
231,15,Goran Broberg was added to Team 15.,2022-07-20 6:13:00 PM,
232,15,Karel David was picked by Team 15 as the 116 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
233,2,Rod Marcoux was added to Team 2.,2022-07-20 6:13:00 PM,
234,2,Karel David was picked by Team 2 as the 117 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
235,16,Willibald Urban was added to Team 16.,2022-07-20 6:13:00 PM,
236,16,Karel David was picked by Team 16 as the 118 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
237,1,Juha-Matti Moisio was added to Team 1.,2022-07-20 6:13:00 PM,
238,1,Karel David was picked by Team 1 as the 119 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
239,11,Wayne Christensen was added to Team 11.,2022-07-20 6:13:00 PM,
240,11,Karel David was picked by Team 11 as the 120 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
241,11,Gary Massey was added to Team 11.,2022-07-20 6:13:00 PM,
242,11,Karel David was picked by Team 11 as the 121 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
243,1,Eugene Fortin was added to Team 1.,2022-07-20 6:13:01 PM,
244,1,Karel David was picked by Team 1 as the 122 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
245,16,Mansur Kochetkova was added to Team 16.,2022-07-20 6:13:01 PM,
246,16,Mansur Kochetkova was picked by Team 16 as the 123 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
247,2,Charlie Beaton was added to Team 2.,2022-07-20 6:13:01 PM,
248,2,Karel David was picked by Team 2 as the 124 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
249,15,Nathan Alexander was added to Team 15.,2022-07-20 6:13:01 PM,
250,15,Karel David was picked by Team 15 as the 125 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
251,7,Bob Dumais was added to Team 7.,2022-07-20 6:13:01 PM,
252,7,Karel David was picked by Team 7 as the 126 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
253,21,Harry Daniels was added to Team 21.,2022-07-20 6:13:01 PM,
254,21,Karel David was picked by Team 21 as the 127 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
255,14,Bernard Jamieson was added to Team 14.,2022-07-20 6:13:01 PM,
256,14,Bernard Jamieson was picked by Team 14 as the 128 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
257,23,Roland Duquette was added to Team 23.,2022-07-20 6:13:01 PM,
258,23,Roland Duquette was picked by Team 23 as the 129 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
259,13,Albert Kovarik was added to Team 13.,2022-07-20 6:13:01 PM,
260,13,Karel David was picked by Team 13 as the 130 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
261,20,Arthur Bridges was added to Team 20.,2022-07-20 6:13:01 PM,
262,20,Karel David was picked by Team 20 as the 131 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
263,4,Alex George was added to Team 4.,2022-07-20 6:13:01 PM,
264,4,Karel David was picked by Team 4 as the 132 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
265,24,Yan Sharma was added to Team 24.,2022-07-20 6:13:01 PM,
266,24,Karel David was picked by Team 24 as the 133 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
267,8,Dominic Potter was added to Team 8.,2022-07-20 6:13:01 PM,
268,8,Karel David was picked by Team 8 as the 134 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
269,18,Robbie Church was added to Team 18.,2022-07-20 6:13:01 PM,
270,18,Andrzej Arseneault was picked by Team 18 as the 135 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
271,22,Etienne Hardy was added to Team 22.,2022-07-20 6:13:01 PM,
272,22,Andrzej Arseneault was picked by Team 22 as the 136 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
273,9,Stuart Bell was added to Team 9.,2022-07-20 6:13:01 PM,
274,9,Andrzej Arseneault was picked by Team 9 as the 137 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
275,19,Karim Clement was added to Team 19.,2022-07-20 6:13:01 PM,
276,19,Andrzej Arseneault was picked by Team 19 as the 138 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
277,3,Bert Rochon was added to Team 3.,2022-07-20 6:13:01 PM,
278,3,Karel David was picked by Team 3 as the 139 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
279,5,Norm Laliberte was added to Team 5.,2022-07-20 6:13:01 PM,
280,5,Andrzej Arseneault was picked by Team 5 as the 140 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
281,17,Denis Gagnon was added to Team 17.,2022-07-20 6:13:01 PM,
282,17,Denis Gagnon was picked by Team 17 as the 141 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
283,12,Clint Campbell was added to Team 12.,2022-07-20 6:13:01 PM,
284,12,Andrzej Arseneault was picked by Team 12 as the 142 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
285,6,Dimok Gorbunov was added to Team 6.,2022-07-20 6:13:01 PM,
286,6,Dimok Gorbunov was picked by Team 6 as the 143 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
287,10,Ramazan Danilova was added to Team 10.,2022-07-20 6:13:01 PM,
288,10,Ramazan Danilova was picked by Team 10 as the 144 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
289,10,Denik Bondarev was added to Team 10.,2022-07-20 6:13:01 PM,
290,10,Karel David was picked by Team 10 as the 145 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
291,6,Abdula Ibragimova was added to Team 6.,2022-07-20 6:13:01 PM,
292,6,Karel David was picked by Team 6 as the 146 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
293,12,Phil Ricard was added to Team 12.,2022-07-20 6:13:01 PM,
294,12,Phil Ricard was picked by Team 12 as the 147 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
295,17,Jean-Philippe Lamontagne was added to Team 17.,2022-07-20 6:13:01 PM,
296,17,Karel David was picked by Team 17 as the 148 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
297,5,Dick Barr was added to Team 5.,2022-07-20 6:13:01 PM,
298,5,Dick Barr was picked by Team 5 as the 149 overall pick in the fantasy draft.,2022-07-20 6:13:01 PM,
