Number,Team,Transaction
28,20,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 20 as the 14 overall pick in the fantasy draft.
29,13,[2022-07-20 6:13:00 PM] - Charles Bell was added to Team 13.
30,13,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 13 as the 15 overall pick in the fantasy draft.
31,23,[2022-07-20 6:13:00 PM] - Tyrone Scott was added to Team 23.
32,23,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 23 as the 16 overall pick in the fantasy draft.
33,14,[2022-07-20 6:13:00 PM] - Murray Leroux was added to Team 14.
34,14,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 14 as the 17 overall pick in the fantasy draft.
35,21,[2022-07-20 6:13:00 PM] - Ricardo Tate was added to Team 21.
36,21,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 21 as the 18 overall pick in the fantasy draft.
37,7,[2022-07-20 6:13:00 PM] - Joachim Boman was added to Team 7.
38,7,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 7 as the 19 overall pick in the fantasy draft.
39,15,[2022-07-20 6:13:00 PM] - Dustin Belanger was added to Team 15.
40,15,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 15 as the 20 overall pick in the fantasy draft.
41,2,[2022-07-20 6:13:00 PM] - Lloyd Costa was added to Team 2.
42,2,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 2 as the 21 overall pick in the fantasy draft.
43,16,[2022-07-20 6:13:00 PM] - Antoine Corriveau was added to Team 16.
44,16,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 16 as the 22 overall pick in the fantasy draft.
45,1,[2022-07-20 6:13:00 PM] - Aygiz Korchagin was added to Team 1.
46,1,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 1 as the 23 overall pick in the fantasy draft.
47,11,[2022-07-20 6:13:00 PM] - Timur Belyakov was added to Team 11.
48,11,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 11 as the 24 overall pick in the fantasy draft.
49,11,[2022-07-20 6:13:00 PM] - Remi Robert was added to Team 11.
50,11,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 11 as the 25 overall pick in the fantasy draft.
51,1,[2022-07-20 6:13:00 PM] - Alfonso Patel was added to Team 1.
52,1,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 1 as the 26 overall pick in the fantasy draft.
53,16,[2022-07-20 6:13:00 PM] - Krister Ronnback was added to Team 16.
54,16,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 16 as the 27 overall pick in the fantasy draft.
55,2,[2022-07-20 6:13:00 PM] - Brandon Langevin was added to Team 2.
56,2,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 2 as the 28 overall pick in the fantasy draft.
57,15,[2022-07-20 6:13:00 PM] - Dave Hunt was added to Team 15.
58,15,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 15 as the 29 overall pick in the fantasy draft.
59,7,[2022-07-20 6:13:00 PM] - Don Cousineau was added to Team 7.
60,7,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 7 as the 30 overall pick in the fantasy draft.
61,21,[2022-07-20 6:13:00 PM] - Benoit Poole was added to Team 21.
62,21,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 21 as the 31 overall pick in the fantasy draft.
63,14,[2022-07-20 6:13:00 PM] - Bill Reese was added to Team 14.
64,14,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 14 as the 32 overall pick in the fantasy draft.
65,23,[2022-07-20 6:13:00 PM] - Todd Hynes was added to Team 23.
66,23,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 23 as the 33 overall pick in the fantasy draft.
67,13,[2022-07-20 6:13:00 PM] - Sebastian Varga was added to Team 13.
68,13,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 13 as the 34 overall pick in the fantasy draft.
69,20,[2022-07-20 6:13:00 PM] - Micheal Briere was added to Team 20.
70,20,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 20 as the 35 overall pick in the fantasy draft.
71,4,[2022-07-20 6:13:00 PM] - Ernesto Dougherty was added to Team 4.
72,4,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 4 as the 36 overall pick in the fantasy draft.
73,24,[2022-07-20 6:13:00 PM] - Vernon Kaur was added to Team 24.
74,24,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 24 as the 37 overall pick in the fantasy draft.
75,8,[2022-07-20 6:13:00 PM] - Larry Zhang was added to Team 8.
76,8,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 8 as the 38 overall pick in the fantasy draft.
77,18,[2022-07-20 6:13:00 PM] - Jonathan Bird was added to Team 18.
78,18,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 18 as the 39 overall pick in the fantasy draft.
79,22,[2022-07-20 6:13:00 PM] - Ilmo Piirainen was added to Team 22.
80,22,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 22 as the 40 overall pick in the fantasy draft.
81,9,[2022-07-20 6:13:00 PM] - Christian Dixon was added to Team 9.
82,9,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 9 as the 41 overall pick in the fantasy draft.
83,19,[2022-07-20 6:13:00 PM] - Steven Joseph was added to Team 19.
84,19,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 19 as the 42 overall pick in the fantasy draft.
85,3,[2022-07-20 6:13:00 PM] - Lawrence Nichols was added to Team 3.
86,3,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 3 as the 43 overall pick in the fantasy draft.
87,5,[2022-07-20 6:13:00 PM] - Christian Stephens was added to Team 5.
88,5,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 5 as the 44 overall pick in the fantasy draft.
89,17,[2022-07-20 6:13:00 PM] - Claes-Goran Nyman was added to Team 17.
90,17,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 17 as the 45 overall pick in the fantasy draft.
91,12,[2022-07-20 6:13:00 PM] - Tamerlan Grigoryev was added to Team 12.
92,12,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 12 as the 46 overall pick in the fantasy draft.
93,6,[2022-07-20 6:13:00 PM] - Greg Rodgers was added to Team 6.
94,6,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 6 as the 47 overall pick in the fantasy draft.
95,10,[2022-07-20 6:13:00 PM] - Hans-Hermann Raab was added to Team 10.
96,10,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 10 as the 48 overall pick in the fantasy draft.
97,10,[2022-07-20 6:13:00 PM] - Stan Leon was added to Team 10.
98,10,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 10 as the 49 overall pick in the fantasy draft.
99,6,[2022-07-20 6:13:00 PM] - Jakovs Pavlovs was added to Team 6.
100,6,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 6 as the 50 overall pick in the fantasy draft.
101,12,[2022-07-20 6:13:00 PM] - Gabriel Hewitt was added to Team 12.
102,12,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 12 as the 51 overall pick in the fantasy draft.
103,17,[2022-07-20 6:13:00 PM] - Mike Harrell was added to Team 17.
104,17,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 17 as the 52 overall pick in the fantasy draft.
105,5,[2022-07-20 6:13:00 PM] - Bertrand Shannon was added to Team 5.
106,5,[2022-07-20 6:13:00 PM] - Max Blackburn was picked by Team 5 as the 53 overall pick in the fantasy draft.
107,3,[2022-07-20 6:13:00 PM] - Amer Grip was added to Team 3.
108,3,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 3 as the 54 overall pick in the fantasy draft.
109,19,[2022-07-20 6:13:00 PM] - George Bailey was added to Team 19.
110,19,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 19 as the 55 overall pick in the fantasy draft.
111,9,[2022-07-20 6:13:00 PM] - Mehdi Lonnqvist was added to Team 9.
112,9,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 9 as the 56 overall pick in the fantasy draft.
113,22,[2022-07-20 6:13:00 PM] - Ulrich Rose was added to Team 22.
114,22,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 22 as the 57 overall pick in the fantasy draft.
115,18,[2022-07-20 6:13:00 PM] - Bradley Cross was added to Team 18.
116,18,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 18 as the 58 overall pick in the fantasy draft.
117,8,[2022-07-20 6:13:00 PM] - Vitaly Simonova was added to Team 8.
118,8,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 8 as the 59 overall pick in the fantasy draft.
119,24,[2022-07-20 6:13:00 PM] - Warren Yu was added to Team 24.
120,24,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 24 as the 60 overall pick in the fantasy draft.
121,4,[2022-07-20 6:13:00 PM] - Joseph Bruning was added to Team 4.
122,4,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 4 as the 61 overall pick in the fantasy draft.
123,20,[2022-07-20 6:13:00 PM] - Rashit Mitrofanova was added to Team 20.
124,20,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 20 as the 62 overall pick in the fantasy draft.
125,13,[2022-07-20 6:13:00 PM] - Len Mcmillan was added to Team 13.
126,13,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 13 as the 63 overall pick in the fantasy draft.
127,23,[2022-07-20 6:13:00 PM] - Clarence Guzman was added to Team 23.
128,23,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 23 as the 64 overall pick in the fantasy draft.
129,14,[2022-07-20 6:13:00 PM] - Kevin Jordan was added to Team 14.
130,14,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 14 as the 65 overall pick in the fantasy draft.
131,21,[2022-07-20 6:13:00 PM] - Randy Bourgeois was added to Team 21.
132,21,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 21 as the 66 overall pick in the fantasy draft.
133,7,[2022-07-20 6:13:00 PM] - Malte Lovgren was added to Team 7.
134,7,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 7 as the 67 overall pick in the fantasy draft.
135,15,[2022-07-20 6:13:00 PM] - Frederick Wolfe was added to Team 15.
136,15,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 15 as the 68 overall pick in the fantasy draft.
137,2,[2022-07-20 6:13:00 PM] - Astemir Belykh was added to Team 2.
138,2,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 2 as the 69 overall pick in the fantasy draft.
139,16,[2022-07-20 6:13:00 PM] - Jake Matte was added to Team 16.
140,16,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 16 as the 70 overall pick in the fantasy draft.
141,1,[2022-07-20 6:13:00 PM] - Alexander Prokop was added to Team 1.
142,1,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 1 as the 71 overall pick in the fantasy draft.
143,11,[2022-07-20 6:13:00 PM] - Hasan Hogstrom was added to Team 11.
144,11,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 11 as the 72 overall pick in the fantasy draft.
145,11,[2022-07-20 6:13:00 PM] - Boris Renard was added to Team 11.
146,11,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 11 as the 73 overall pick in the fantasy draft.
147,1,[2022-07-20 6:13:00 PM] - Garrett Stout was added to Team 1.
148,1,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 1 as the 74 overall pick in the fantasy draft.
149,16,[2022-07-20 6:13:00 PM] - Pavel Zotova was added to Team 16.
150,16,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 16 as the 75 overall pick in the fantasy draft.
151,2,[2022-07-20 6:13:00 PM] - Martti Brorsson was added to Team 2.
152,2,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 2 as the 76 overall pick in the fantasy draft.
153,15,[2022-07-20 6:13:00 PM] - Oleg Lampe was added to Team 15.
154,15,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 15 as the 77 overall pick in the fantasy draft.
155,7,[2022-07-20 6:13:00 PM] - Lucas Price was added to Team 7.
156,7,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 7 as the 78 overall pick in the fantasy draft.
157,21,[2022-07-20 6:13:00 PM] - Kirk Manning was added to Team 21.
158,21,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 21 as the 79 overall pick in the fantasy draft.
159,14,[2022-07-20 6:13:00 PM] - Bruno Carroll was added to Team 14.
160,14,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 14 as the 80 overall pick in the fantasy draft.
161,23,[2022-07-20 6:13:00 PM] - Hendrik Rudolph was added to Team 23.
162,23,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 23 as the 81 overall pick in the fantasy draft.
163,13,[2022-07-20 6:13:00 PM] - Rickey Cain was added to Team 13.
164,13,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 13 as the 82 overall pick in the fantasy draft.
165,20,[2022-07-20 6:13:00 PM] - Luc Green was added to Team 20.
166,20,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 20 as the 83 overall pick in the fantasy draft.
167,4,[2022-07-20 6:13:00 PM] - Ryan Lambert was added to Team 4.
168,4,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 4 as the 84 overall pick in the fantasy draft.
169,24,[2022-07-20 6:13:00 PM] - Herman Plamondon was added to Team 24.
170,24,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 24 as the 85 overall pick in the fantasy draft.
171,8,[2022-07-20 6:13:00 PM] - Jared Mercier was added to Team 8.
172,8,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 8 as the 86 overall pick in the fantasy draft.
173,18,[2022-07-20 6:13:00 PM] - Chingis Filatov was added to Team 18.
174,18,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 18 as the 87 overall pick in the fantasy draft.
175,22,[2022-07-20 6:13:00 PM] - Randy Dussault was added to Team 22.
176,22,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 22 as the 88 overall pick in the fantasy draft.
177,9,[2022-07-20 6:13:00 PM] - Manu Ahonen was added to Team 9.
178,9,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 9 as the 89 overall pick in the fantasy draft.
179,19,[2022-07-20 6:13:00 PM] - Atagishi Baranova was added to Team 19.
180,19,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 19 as the 90 overall pick in the fantasy draft.
181,3,[2022-07-20 6:13:00 PM] - Victor Morse was added to Team 3.
182,3,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 3 as the 91 overall pick in the fantasy draft.
183,5,[2022-07-20 6:13:00 PM] - Harry Miles was added to Team 5.
184,5,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 5 as the 92 overall pick in the fantasy draft.
185,17,[2022-07-20 6:13:00 PM] - David Raymond was added to Team 17.
186,17,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 17 as the 93 overall pick in the fantasy draft.
187,12,[2022-07-20 6:13:00 PM] - Lucien Morrow was added to Team 12.
188,12,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 12 as the 94 overall pick in the fantasy draft.
189,6,[2022-07-20 6:13:00 PM] - Daniel Labonte was added to Team 6.
190,6,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 6 as the 95 overall pick in the fantasy draft.
191,10,[2022-07-20 6:13:00 PM] - Sergei Sergeevich was added to Team 10.
192,10,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 10 as the 96 overall pick in the fantasy draft.
193,10,[2022-07-20 6:13:00 PM] - Gavin Simon was added to Team 10.
194,10,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 10 as the 97 overall pick in the fantasy draft.
195,6,[2022-07-20 6:13:00 PM] - Kristofer Ekstrom was added to Team 6.
196,6,[2022-07-20 6:13:00 PM] - Vernon Kaur was picked by Team 6 as the 98 overall pick in the fantasy draft.
197,12,[2022-07-20 6:13:00 PM] - Ross Newton was added to Team 12.
198,12,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 12 as the 99 overall pick in the fantasy draft.
199,17,[2022-07-20 6:13:00 PM] - Carlos Barrera was added to Team 17.
200,17,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 17 as the 100 overall pick in the fantasy draft.
201,5,[2022-07-20 6:13:00 PM] - Sandro Budde was added to Team 5.
202,5,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 5 as the 101 overall pick in the fantasy draft.
203,3,[2022-07-20 6:13:00 PM] - Vit Brazdova was added to Team 3.
204,3,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 3 as the 102 overall pick in the fantasy draft.
205,19,[2022-07-20 6:13:00 PM] - Will Rowe was added to Team 19.
206,19,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 19 as the 103 overall pick in the fantasy draft.
207,9,[2022-07-20 6:13:00 PM] - Gustav Sedlak was added to Team 9.
208,9,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 9 as the 104 overall pick in the fantasy draft.
209,22,[2022-07-20 6:13:00 PM] - Giovanni Blanchette was added to Team 22.
210,22,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 22 as the 105 overall pick in the fantasy draft.
211,18,[2022-07-20 6:13:00 PM] - Ghislain Hu was added to Team 18.
212,18,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 18 as the 106 overall pick in the fantasy draft.
213,8,[2022-07-20 6:13:00 PM] - Darrell Plouffe was added to Team 8.
214,8,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 8 as the 107 overall pick in the fantasy draft.
215,24,[2022-07-20 6:13:00 PM] - Albert Bailey was added to Team 24.
216,24,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 24 as the 108 overall pick in the fantasy draft.
217,4,[2022-07-20 6:13:00 PM] - Olli-Pekka Niinimaki was added to Team 4.
218,4,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 4 as the 109 overall pick in the fantasy draft.
219,20,[2022-07-20 6:13:00 PM] - Gavin Barr was added to Team 20.
220,20,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 20 as the 110 overall pick in the fantasy draft.
221,13,[2022-07-20 6:13:00 PM] - Hector Tetreault was added to Team 13.
222,13,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 13 as the 111 overall pick in the fantasy draft.
223,23,[2022-07-20 6:13:00 PM] - Yu Girard was added to Team 23.
224,23,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 23 as the 112 overall pick in the fantasy draft.
225,14,[2022-07-20 6:13:00 PM] - Carl Mende was added to Team 14.
226,14,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 14 as the 113 overall pick in the fantasy draft.
227,21,[2022-07-20 6:13:00 PM] - Robt Muir was added to Team 21.
228,21,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 21 as the 114 overall pick in the fantasy draft.
229,7,[2022-07-20 6:13:00 PM] - Jacob Parker was added to Team 7.
230,7,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 7 as the 115 overall pick in the fantasy draft.
231,15,[2022-07-20 6:13:00 PM] - Goran Broberg was added to Team 15.
232,15,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 15 as the 116 overall pick in the fantasy draft.
233,2,[2022-07-20 6:13:00 PM] - Rod Marcoux was added to Team 2.
234,2,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 2 as the 117 overall pick in the fantasy draft.
235,16,[2022-07-20 6:13:00 PM] - Willibald Urban was added to Team 16.
236,16,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 16 as the 118 overall pick in the fantasy draft.
237,1,[2022-07-20 6:13:00 PM] - Juha-Matti Moisio was added to Team 1.
238,1,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 1 as the 119 overall pick in the fantasy draft.
239,11,[2022-07-20 6:13:00 PM] - Wayne Christensen was added to Team 11.
240,11,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 11 as the 120 overall pick in the fantasy draft.
241,11,[2022-07-20 6:13:00 PM] - Gary Massey was added to Team 11.
242,11,[2022-07-20 6:13:00 PM] - Karel David was picked by Team 11 as the 121 overall pick in the fantasy draft.
243,1,[2022-07-20 6:13:01 PM] - Eugene Fortin was added to Team 1.
244,1,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 1 as the 122 overall pick in the fantasy draft.
245,16,[2022-07-20 6:13:01 PM] - Mansur Kochetkova was added to Team 16.
246,16,[2022-07-20 6:13:01 PM] - Mansur Kochetkova was picked by Team 16 as the 123 overall pick in the fantasy draft.
247,2,[2022-07-20 6:13:01 PM] - Charlie Beaton was added to Team 2.
248,2,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 2 as the 124 overall pick in the fantasy draft.
249,15,[2022-07-20 6:13:01 PM] - Nathan Alexander was added to Team 15.
250,15,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 15 as the 125 overall pick in the fantasy draft.
251,7,[2022-07-20 6:13:01 PM] - Bob Dumais was added to Team 7.
252,7,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 7 as the 126 overall pick in the fantasy draft.
253,21,[2022-07-20 6:13:01 PM] - Harry Daniels was added to Team 21.
254,21,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 21 as the 127 overall pick in the fantasy draft.
255,14,[2022-07-20 6:13:01 PM] - Bernard Jamieson was added to Team 14.
256,14,[2022-07-20 6:13:01 PM] - Bernard Jamieson was picked by Team 14 as the 128 overall pick in the fantasy draft.
257,23,[2022-07-20 6:13:01 PM] - Roland Duquette was added to Team 23.
258,23,[2022-07-20 6:13:01 PM] - Roland Duquette was picked by Team 23 as the 129 overall pick in the fantasy draft.
259,13,[2022-07-20 6:13:01 PM] - Albert Kovarik was added to Team 13.
260,13,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 13 as the 130 overall pick in the fantasy draft.
261,20,[2022-07-20 6:13:01 PM] - Arthur Bridges was added to Team 20.
262,20,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 20 as the 131 overall pick in the fantasy draft.
263,4,[2022-07-20 6:13:01 PM] - Alex George was added to Team 4.
264,4,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 4 as the 132 overall pick in the fantasy draft.
265,24,[2022-07-20 6:13:01 PM] - Yan Sharma was added to Team 24.
266,24,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 24 as the 133 overall pick in the fantasy draft.
267,8,[2022-07-20 6:13:01 PM] - Dominic Potter was added to Team 8.
268,8,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 8 as the 134 overall pick in the fantasy draft.
269,18,[2022-07-20 6:13:01 PM] - Robbie Church was added to Team 18.
270,18,[2022-07-20 6:13:01 PM] - Andrzej Arseneault was picked by Team 18 as the 135 overall pick in the fantasy draft.
271,22,[2022-07-20 6:13:01 PM] - Etienne Hardy was added to Team 22.
272,22,[2022-07-20 6:13:01 PM] - Andrzej Arseneault was picked by Team 22 as the 136 overall pick in the fantasy draft.
273,9,[2022-07-20 6:13:01 PM] - Stuart Bell was added to Team 9.
274,9,[2022-07-20 6:13:01 PM] - Andrzej Arseneault was picked by Team 9 as the 137 overall pick in the fantasy draft.
275,19,[2022-07-20 6:13:01 PM] - Karim Clement was added to Team 19.
276,19,[2022-07-20 6:13:01 PM] - Andrzej Arseneault was picked by Team 19 as the 138 overall pick in the fantasy draft.
277,3,[2022-07-20 6:13:01 PM] - Bert Rochon was added to Team 3.
278,3,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 3 as the 139 overall pick in the fantasy draft.
279,5,[2022-07-20 6:13:01 PM] - Norm Laliberte was added to Team 5.
280,5,[2022-07-20 6:13:01 PM] - Andrzej Arseneault was picked by Team 5 as the 140 overall pick in the fantasy draft.
281,17,[2022-07-20 6:13:01 PM] - Denis Gagnon was added to Team 17.
282,17,[2022-07-20 6:13:01 PM] - Denis Gagnon was picked by Team 17 as the 141 overall pick in the fantasy draft.
283,12,[2022-07-20 6:13:01 PM] - Clint Campbell was added to Team 12.
284,12,[2022-07-20 6:13:01 PM] - Andrzej Arseneault was picked by Team 12 as the 142 overall pick in the fantasy draft.
285,6,[2022-07-20 6:13:01 PM] - Dimok Gorbunov was added to Team 6.
286,6,[2022-07-20 6:13:01 PM] - Dimok Gorbunov was picked by Team 6 as the 143 overall pick in the fantasy draft.
287,10,[2022-07-20 6:13:01 PM] - Ramazan Danilova was added to Team 10.
288,10,[2022-07-20 6:13:01 PM] - Ramazan Danilova was picked by Team 10 as the 144 overall pick in the fantasy draft.
289,10,[2022-07-20 6:13:01 PM] - Denik Bondarev was added to Team 10.
290,10,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 10 as the 145 overall pick in the fantasy draft.
291,6,[2022-07-20 6:13:01 PM] - Abdula Ibragimova was added to Team 6.
292,6,[2022-07-20 6:13:01 PM] - Karel David was picked by Team 6 as the 146 overall pick in the fantasy draft.
