Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacityL1,ArenaCapacityL2,ArenaCapacityL3,ArenaCapacityL4,ArenaCapacityL5,TicketPriceL1,TicketPriceL2,TicketPriceL3,TicketPriceL4,TicketPriceL5,AttendanceL1,AttendanceL2,AttendanceL3,AttendanceL4,AttendanceL5,SpecialSalaryCapY1,SpecialSalaryCapY2,SpecialSalaryCapY3,SpecialSalaryCapY4,SpecialSalaryCapY5,SpecialSalaryCapY6,SpecialSalaryCapY7,SpecialSalaryCapY8,SpecialSalaryCapY9,SpecialSalaryCapY10,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,Finance,LuxuryTaxeTotal,CoachID,Empty4,Morale,PowerRanking,LinesLoad,LastLoadFileDate,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,TotalSalaryCap,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
11,Team 11,T11,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,29807,24907,9968,19927,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,56518929,56518929,0,89609,7902719,0,40,100,159473036,0,6,,50,11,0,,,False,0,True,11,0,0,0,,OTL1,4,5,0,0,1,0,0,11,5,6,0,0,0,0,0,10,37,38,5,3,2,0,0,0,0,0,18,16,43,10,40,10,1,287,343,128,68,93,116,10,9,9,18,1,16272,15940,8678,5092,11001,4324,0,37,68,105,90,244,210,416,173,342,101,190,0
12,Team 12,T12,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,17914,15000,5936,11958,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,62599000,62599000,0,53808,4747638,0,40,100,131840585,0,27,,50,12,0,,,False,0,True,12,0,0,0,,L1,2,3,0,0,1,0,0,6,2,4,0,0,0,0,0,4,19,24,3,1,2,0,0,0,0,0,11,14,23,8,33,9,2,216,222,50,72,52,71,21,7,6,5,1,9664,8698,4788,2912,6086,2197,0,19,30,49,68,176,143,258,133,227,44,96,0
13,Team 13,T13,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,24000,19900,7990,16000,3961,0,0,0,0,0,0,0,0,0,0,0,0,0,59125260,59125260,0,71851,6332312,0,40,100,141477519,0,26,,50,13,0,,,False,0,True,13,0,0,0,,L1,3,4,0,0,0,0,0,7,3,4,0,0,0,0,0,6,18,24,4,2,2,0,0,0,0,0,10,13,12,2,36,7,0,151,205,55,42,60,48,1,4,5,8,1,10157,9994,5197,2999,7084,2561,0,18,33,51,74,154,110,251,84,185,61,109,1
14,Team 14,T14,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56979000,56979000,0,0,0,0,40,100,131218220,0,20,,50,14,0,,,True,0,True,14,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team 15,T15,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,18000,14811,6000,12000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,57350933,57350933,0,53811,4748325,0,40,100,150507127,0,49,,50,15,0,,,False,0,True,15,0,0,0,,L1,2,2,0,0,2,0,0,6,2,4,0,0,0,0,0,4,12,14,3,0,3,0,0,0,0,0,6,10,18,1,18,3,0,167,149,37,46,51,64,6,6,2,4,0,9206,8358,5084,3068,5478,2391,1,12,22,34,40,139,100,193,105,214,45,93,0
16,Team 16,T16,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56855105,56855105,0,0,0,0,40,100,127409170,0,73,,50,16,0,,,True,0,True,16,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Team 17,T17,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,53805,44821,17883,36000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,62484325,62484325,0,161509,14244581,0,40,100,131320815,0,51,,50,17,0,,,False,0,True,17,0,0,0,,L2,5,3,0,0,2,0,0,17,10,7,0,0,0,0,0,20,55,45,9,5,4,0,0,0,0,0,26,23,45,9,95,21,0,452,452,160,135,164,138,15,18,19,16,2,25811,23567,13590,7975,15733,6635,1,55,96,151,205,453,326,590,311,559,154,283,0
18,Team 18,T18,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,71885,60000,23937,47945,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,57812000,57812000,0,215767,19031150,0,40,100,169003003,0,34,,50,18,0,,,False,0,False,18,0,0,0,,W2,8,2,0,0,0,0,0,21,16,5,0,0,0,0,0,32,77,57,12,9,3,0,0,0,0,0,42,33,86,12,57,9,0,671,585,138,202,213,244,12,22,23,30,2,30738,29619,16714,9757,20194,8147,1,77,142,219,144,452,361,706,371,737,165,334,0
19,Team 19,T19,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49417865,49417865,0,0,0,0,40,100,140984570,0,39,,50,19,0,,,True,0,True,19,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Team 20,T20,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56874000,56874000,0,0,0,0,40,100,123317202,0,53,,50,20,0,,,True,0,True,20,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Team 21,T21,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51257157,51257157,0,0,0,0,40,100,135114594,0,35,,50,21,0,,,True,0,True,21,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Team 22,T22,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58101239,58101239,0,0,0,0,40,100,109746650,0,61,,50,22,0,,,True,0,True,22,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Team 23,T23,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,17651,14901,6000,12000,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,64623597,64623597,0,53551,4711200,0,40,100,131291720,0,7,,50,23,0,,,False,0,True,23,0,0,0,,L1,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,15,24,3,1,2,0,0,0,0,0,9,11,28,5,20,6,0,211,168,45,59,94,58,0,3,10,2,0,8365,8743,4492,2603,6069,2229,0,15,29,44,48,165,87,182,119,248,43,93,0
24,Team 24,T24,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,30000,25000,10000,20000,4917,0,0,0,0,0,0,0,0,0,0,0,0,0,60747150,60747150,0,89917,7916750,0,40,100,142913017,0,40,,50,24,0,,,False,0,True,24,0,0,0,,L1,4,4,0,0,2,0,0,10,4,6,0,0,0,0,0,8,32,34,5,2,3,0,0,0,0,0,14,15,43,10,39,12,0,316,338,116,92,104,100,20,14,7,10,1,14464,16167,8041,4344,11392,4238,0,32,56,88,94,265,162,377,159,370,78,158,1
