GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Pro952,LTLHL-952.php,Team 17,T17,3,Walter Turnbull(39): Hannes Hofmann(13): Arvid Tonnesen(28),Shyngyskhan Goncharova (T17): 20 saves from 24 shots - (0.833): L: 50-21-4: 59:01 minutes ,Team 7,TM7,4,Jorge Day(42): Harold Daniel(13): Norman Lacroix(24): Rafael Dragun(8),Tatu Ruuska (TM7): 40 saves from 43 shots - (0.930): W: 33-30-3: 60:00 minutes 
Pro953,LTLHL-953.php,Team 21,T21,1,Milan Marcin(7),Josh Hutchinson (T21): 35 saves from 37 shots - (0.946): L: 30-45-5: 59:08 minutes ,Team 4,TM4,2,Sylvain Russell(37): Radim Hosek(11),Klemens Schone (TM4): 11 saves from 12 shots - (0.917): W: 42-32-5: 60:00 minutes 
Pro954,LTLHL-954.php,Team 19,T19,3,Jacob Rogers(8): Bertil Malmgren(16): Radko Kaspar(8),Rolf Karhu (T19): 7 saves from 11 shots - (0.636): L: 31-40-5: 28:15 minutes Lance Dagenais (T19): 13 saves from 14 shots - (0.929): 31:45 minutes ,Team 9,TM9,5,Lars-Olov Sonesson(32): Idris Kostenko(16): Hans-Otto Baumgart(26:27): Per Siltala(12),Gregory Deschamps (TM9): 22 saves from 25 shots - (0.880): W: 31-39-7: 60:00 minutes 
Pro955,LTLHL-955.php,Team 22,T22,2,Norbert Fiserova(9): Vovik Klimova(25),Oscar Jacobs (T22): 21 saves from 25 shots - (0.840): L: 24-42-8: 45:09 minutes Roberto Prevost (T22): 9 saves from 12 shots - (0.750): 14:51 minutes ,Team 12,T12,7,Billy Peterson(19): Travis Allison(13): Al Solis(14:15): Jerry Mueller(50:51): Byron Bryant(29),Bruno Gillberg (T12): 14 saves from 16 shots - (0.875): W: 47-24-6: 60:00 minutes 
Pro956,LTLHL-956.php,Team 13,T13,2,Oscar Trujillo(30): Or Fox(8),Christopher Abbott (T13): 17 saves from 20 shots - (0.850): L: 41-29-7: 59:11 minutes ,Team 3,TM3,3,Edwin Nielsen(3): Ingvar Borgstrom(22:23),Pasquale Ruf (TM3): 18 saves from 20 shots - (0.900): W: 42-24-8: 60:00 minutes 
Farm960,LTLHL-Farm-960.php,Farm Team 23,F23,3,Boris Ponomarev(13): Ake Sjoberg(2): Donats Vilcane(35),Amir Brisebois (F23): 25 saves from 28 shots - (0.893): OTL: 40-29-8: 65:00 minutes ,Farm Team 17,F17,4,Carsten Fricke(47): Jude Turner(34): Aleksandr Borisenko(8),Ted Dunlop (F17): 20 saves from 23 shots - (0.870): W: 43-24-7: 65:00 minutes 
Pro957,LTLHL-957.php,Team 17,T17,2,Kris Wright(31): Herb Macmillan(7),Shyngyskhan Goncharova (T17): 20 saves from 20 shots - (1.000): W: 51-21-4: 60:00 minutes ,Team 11,T11,0,,Cory Giguere (T11): 22 saves from 24 shots - (0.917): L: 36-34-6: 60:00 minutes 
Pro958,LTLHL-958.php,Team 19,T19,2,Bertil Malmgren(17:18),Rolf Karhu (T19): 27 saves from 28 shots - (0.964): W: 32-40-5: 61:21 minutes ,Team 23,T23,1,Ricardo Booth(47),George Skinner (T23): 23 saves from 25 shots - (0.920): OTL: 43-25-8: 61:21 minutes 
Pro959,LTLHL-959.php,Team 24,T24,2,Anssi Hujanen(11): Esa Tervo(42),Alan Holmberg (T24): 7 saves from 10 shots - (0.700): L: 47-24-7: 31:38 minutes Ferenc Medved (T24): 14 saves from 14 shots - (1.000): 27:24 minutes ,Team 18,T18,3,Jason Trujillo(50): Joachim Norin(18): Max Rodgers(11),Robt Mcmahon (T18): 17 saves from 19 shots - (0.895): W: 54-15-6: 60:00 minutes 
Pro960,LTLHL-960.php,Team 20,T20,3,Barry Curtis(28): Herberts Vasiljevs(19): Raymond Vetsch(14),Francis St-Pierre (T20): 27 saves from 28 shots - (0.964): W: 25-44-4: 60:00 minutes ,Team 14,T14,1,Edgar Miezis(5),Artemiy Kotova (T14): 23 saves from 26 shots - (0.885): L: 40-32-1: 60:00 minutes 
