Number,Transaction,DateTime,Empty
83,Johnny Hughes was picked by Team 24 as the 779 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
84,Germain Mcleod was added to Team 6.,2022-07-23 6:49:28 PM,
85,Germain Mcleod was picked by Team 6 as the 780 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
86,Ed Simonova was added to Team 2.,2022-07-23 6:49:28 PM,
87,Ed Simonova was picked by Team 2 as the 781 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
88,Tommy Juutilainen was added to Team 22.,2022-07-23 6:49:28 PM,
89,Tommy Juutilainen was picked by Team 22 as the 782 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
90,Will Orr was added to Team 1.,2022-07-23 6:49:28 PM,
91,Will Orr was picked by Team 1 as the 783 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
92,Olavi Juhola was added to Team 19.,2022-07-23 6:49:28 PM,
93,Olavi Juhola was picked by Team 19 as the 784 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
94,Bill Paradis was added to Team 23.,2022-07-23 6:49:28 PM,
95,Bill Paradis was picked by Team 23 as the 785 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
96,Djamel Baudin was added to Team 17.,2022-07-23 6:49:28 PM,
97,Djamel Baudin was picked by Team 17 as the 786 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
98,Philip Chung was added to Team 15.,2022-07-23 6:49:28 PM,
99,Philip Chung was picked by Team 15 as the 787 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
100,Anton Palko was added to Team 3.,2022-07-23 6:49:28 PM,
101,Anton Palko was picked by Team 3 as the 788 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
102,Marcus Mckenzie was added to Team 7.,2022-07-23 6:49:28 PM,
103,Marcus Mckenzie was picked by Team 7 as the 789 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
104,Adam Garza was added to Team 10.,2022-07-23 6:49:28 PM,
105,Adam Garza was picked by Team 10 as the 790 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
106,Patrik Kovacova was added to Team 16.,2022-07-23 6:49:28 PM,
107,Patrik Kovacova was picked by Team 16 as the 791 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
108,Tyrone Macdonald was added to Team 13.,2022-07-23 6:49:28 PM,
109,Tyrone Macdonald was picked by Team 13 as the 792 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
110,Raymond Sonderegger was added to Team 13.,2022-07-23 6:49:28 PM,
111,Raymond Sonderegger was picked by Team 13 as the 793 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
112,Tibor Kasparkova was added to Team 16.,2022-07-23 6:49:28 PM,
113,Tibor Kasparkova was picked by Team 16 as the 794 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
114,Anar Rumyantsev was added to Team 10.,2022-07-23 6:49:28 PM,
115,Anar Rumyantsev was picked by Team 10 as the 795 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
116,Yan O'Connor was added to Team 7.,2022-07-23 6:49:28 PM,
117,Yan O'Connor was picked by Team 7 as the 796 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
118,Mukhamed Mikhaylenko was added to Team 3.,2022-07-23 6:49:28 PM,
119,Mukhamed Mikhaylenko was picked by Team 3 as the 797 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
120,Kyle Carter was added to Team 15.,2022-07-23 6:49:28 PM,
121,Kyle Carter was picked by Team 15 as the 798 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
122,Robert Thompson was added to Team 17.,2022-07-23 6:49:28 PM,
123,Robert Thompson was picked by Team 17 as the 799 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
124,Ulli Barthel was added to Team 23.,2022-07-23 6:49:28 PM,
125,Ulli Barthel was picked by Team 23 as the 800 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
126,Alexei Boyko was added to Team 19.,2022-07-23 6:49:28 PM,
127,Alexei Boyko was picked by Team 19 as the 801 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
128,Noel Garcia was added to Team 1.,2022-07-23 6:49:28 PM,
129,Noel Garcia was picked by Team 1 as the 802 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
130,Paul Perkins was added to Team 22.,2022-07-23 6:49:28 PM,
131,Paul Perkins was picked by Team 22 as the 803 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
132,Geo Cook was added to Team 2.,2022-07-23 6:49:28 PM,
133,Geo Cook was picked by Team 2 as the 804 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
134,Marc Lejeune was added to Team 6.,2022-07-23 6:49:28 PM,
135,Marc Lejeune was picked by Team 6 as the 805 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
136,Albert Kellermann was added to Team 24.,2022-07-23 6:49:28 PM,
137,Albert Kellermann was picked by Team 24 as the 806 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
138,Yves Ricard was added to Team 18.,2022-07-23 6:49:28 PM,
139,Yves Ricard was picked by Team 18 as the 807 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
140,Gerard Dixon was added to Team 14.,2022-07-23 6:49:28 PM,
141,Gerard Dixon was picked by Team 14 as the 808 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
142,Grzegorz Nordkvist was added to Team 5.,2022-07-23 6:49:28 PM,
143,Grzegorz Nordkvist was picked by Team 5 as the 809 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
144,Edward Bourassa was added to Team 12.,2022-07-23 6:49:28 PM,
145,Edward Bourassa was picked by Team 12 as the 810 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
146,Juha Osterlund was added to Team 9.,2022-07-23 6:49:28 PM,
147,Juha Osterlund was picked by Team 9 as the 811 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
148,Justin Tessier was added to Team 20.,2022-07-23 6:49:28 PM,
149,Justin Tessier was picked by Team 20 as the 812 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
150,Slavomir Nagyova was added to Team 11.,2022-07-23 6:49:28 PM,
151,Slavomir Nagyova was picked by Team 11 as the 813 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
152,Joseph Lachapelle was added to Team 21.,2022-07-23 6:49:28 PM,
153,Joseph Lachapelle was picked by Team 21 as the 814 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
154,Marks Vevere was added to Team 8.,2022-07-23 6:49:28 PM,
155,Marks Vevere was picked by Team 8 as the 815 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
156,Vladimir Popovicova was added to Team 4.,2022-07-23 6:49:28 PM,
157,Vladimir Popovicova was picked by Team 4 as the 816 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
158,Joey Rioux was added to Team 4.,2022-07-23 6:49:28 PM,
159,Joey Rioux was picked by Team 4 as the 817 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
160,Ivan Jiang was added to Team 8.,2022-07-23 6:49:28 PM,
161,Ivan Jiang was picked by Team 8 as the 818 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
162,Oscar Carroll was added to Team 21.,2022-07-23 6:49:28 PM,
163,Oscar Carroll was picked by Team 21 as the 819 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
164,Taneli Hirvonen was added to Team 11.,2022-07-23 6:49:28 PM,
165,Taneli Hirvonen was picked by Team 11 as the 820 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
166,Ivan Giroux was added to Team 20.,2022-07-23 6:49:28 PM,
167,Ivan Giroux was picked by Team 20 as the 821 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
168,Virgil Vasquez was added to Team 9.,2022-07-23 6:49:28 PM,
169,Virgil Vasquez was picked by Team 9 as the 822 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
170,Clarence Christie was added to Team 12.,2022-07-23 6:49:28 PM,
171,Clarence Christie was picked by Team 12 as the 823 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
172,Jay Millar was added to Team 5.,2022-07-23 6:49:28 PM,
173,Jay Millar was picked by Team 5 as the 824 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
174,Sebastien Becker was added to Team 14.,2022-07-23 6:49:28 PM,
175,Sebastien Becker was picked by Team 14 as the 825 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
176,Zelim Ivanov was added to Team 18.,2022-07-23 6:49:28 PM,
177,Zelim Ivanov was picked by Team 18 as the 826 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
178,Dallas Durand was added to Team 24.,2022-07-23 6:49:28 PM,
179,Dallas Durand was picked by Team 24 as the 827 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
180,Eugene Savage was added to Team 6.,2022-07-23 6:49:28 PM,
181,Eugene Savage was picked by Team 6 as the 828 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
182,Nicolas Houston was added to Team 2.,2022-07-23 6:49:28 PM,
183,Nicolas Houston was picked by Team 2 as the 829 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
184,Bernard Greene was added to Team 22.,2022-07-23 6:49:28 PM,
185,Bernard Greene was picked by Team 22 as the 830 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
186,Alex Bell was added to Team 1.,2022-07-23 6:49:28 PM,
187,Alex Bell was picked by Team 1 as the 831 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
188,Grant Bean was added to Team 19.,2022-07-23 6:49:28 PM,
189,Grant Bean was picked by Team 19 as the 832 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
190,Kazbek Naumenko was added to Team 23.,2022-07-23 6:49:28 PM,
191,Kazbek Naumenko was picked by Team 23 as the 833 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
192,Noel St Pierre was added to Team 17.,2022-07-23 6:49:28 PM,
193,Noel St Pierre was picked by Team 17 as the 834 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
194,Claude Pham was added to Team 15.,2022-07-23 6:49:28 PM,
195,Claude Pham was picked by Team 15 as the 835 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
196,Vasek Fokin was added to Team 3.,2022-07-23 6:49:28 PM,
197,Vasek Fokin was picked by Team 3 as the 836 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
198,Isaac Lowe was added to Team 7.,2022-07-23 6:49:28 PM,
199,Isaac Lowe was picked by Team 7 as the 837 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
200,Joe Gardner was added to Team 10.,2022-07-23 6:49:28 PM,
201,Joe Gardner was picked by Team 10 as the 838 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
202,Mel Brewer was added to Team 16.,2022-07-23 6:49:28 PM,
203,Mel Brewer was picked by Team 16 as the 839 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
204,Miguel Miles was added to Team 13.,2022-07-23 6:49:28 PM,
205,Miguel Miles was picked by Team 13 as the 840 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
206,Murad Petukhov was added to Team 13.,2022-07-23 6:49:28 PM,
207,Murad Petukhov was picked by Team 13 as the 841 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
208,Jean-Marc Zeller was added to Team 16.,2022-07-23 6:49:28 PM,
209,Jean-Marc Zeller was picked by Team 16 as the 842 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
210,Verners Krastins was added to Team 10.,2022-07-23 6:49:28 PM,
211,Verners Krastins was picked by Team 10 as the 843 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
212,Tomas Nikkanen was added to Team 7.,2022-07-23 6:49:28 PM,
213,Tomas Nikkanen was picked by Team 7 as the 844 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
214,Jussi Piipponen was added to Team 3.,2022-07-23 6:49:28 PM,
215,Jussi Piipponen was picked by Team 3 as the 845 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
216,Ramon Mahoney was added to Team 15.,2022-07-23 6:49:28 PM,
217,Ramon Mahoney was picked by Team 15 as the 846 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
218,Reg Newman was added to Team 17.,2022-07-23 6:49:28 PM,
219,Reg Newman was picked by Team 17 as the 847 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
220,Henri Bond was added to Team 23.,2022-07-23 6:49:28 PM,
221,Henri Bond was picked by Team 23 as the 848 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
222,Vlas Popov was added to Team 19.,2022-07-23 6:49:28 PM,
223,Vlas Popov was picked by Team 19 as the 849 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
224,Wes Maltais was added to Team 1.,2022-07-23 6:49:28 PM,
225,Wes Maltais was picked by Team 1 as the 850 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
226,Grigoriy Blinov was added to Team 22.,2022-07-23 6:49:28 PM,
227,Grigoriy Blinov was picked by Team 22 as the 851 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
228,Ludovit Kohoutova was added to Team 2.,2022-07-23 6:49:28 PM,
229,Ludovit Kohoutova was picked by Team 2 as the 852 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
230,Dimarik Soboleva was added to Team 6.,2022-07-23 6:49:28 PM,
231,Dimarik Soboleva was picked by Team 6 as the 853 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
232,Matthew Mcbride was added to Team 24.,2022-07-23 6:49:28 PM,
233,Matthew Mcbride was picked by Team 24 as the 854 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
234,Angel Erickson was added to Team 18.,2022-07-23 6:49:28 PM,
235,Angel Erickson was picked by Team 18 as the 855 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
236,Askar Tokarev was added to Team 14.,2022-07-23 6:49:28 PM,
237,Askar Tokarev was picked by Team 14 as the 856 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
238,Philip Soderlind was added to Team 5.,2022-07-23 6:49:28 PM,
239,Philip Soderlind was picked by Team 5 as the 857 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
240,Luc Stone was added to Team 12.,2022-07-23 6:49:28 PM,
241,Luc Stone was picked by Team 12 as the 858 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
242,Georgy Safonov was added to Team 9.,2022-07-23 6:49:28 PM,
243,Georgy Safonov was picked by Team 9 as the 859 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
244,Volkmar Engels was added to Team 20.,2022-07-23 6:49:28 PM,
245,Volkmar Engels was picked by Team 20 as the 860 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
246,Manuel Ohlsson was added to Team 11.,2022-07-23 6:49:28 PM,
247,Manuel Ohlsson was picked by Team 11 as the 861 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
248,Grant Durocher was added to Team 21.,2022-07-23 6:49:28 PM,
249,Grant Durocher was picked by Team 21 as the 862 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
250,Clarence Power was added to Team 8.,2022-07-23 6:49:28 PM,
251,Clarence Power was picked by Team 8 as the 863 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
252,Justin John was added to Team 4.,2022-07-23 6:49:28 PM,
253,Justin John was picked by Team 4 as the 864 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
254,Kesha Koval was added to Team 4.,2022-07-23 6:49:28 PM,
255,Kesha Koval was picked by Team 4 as the 865 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
256,Olof Dahlin was added to Team 8.,2022-07-23 6:49:28 PM,
257,Olof Dahlin was picked by Team 8 as the 866 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
258,Saveliy Subbotin was added to Team 21.,2022-07-23 6:49:28 PM,
259,Saveliy Subbotin was picked by Team 21 as the 867 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
260,Young Steeves was added to Team 11.,2022-07-23 6:49:28 PM,
261,Young Steeves was picked by Team 11 as the 868 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
262,Wilfred Cook was added to Team 20.,2022-07-23 6:49:28 PM,
263,Wilfred Cook was picked by Team 20 as the 869 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
264,Hans-Werner Wachter was added to Team 9.,2022-07-23 6:49:28 PM,
265,Hans-Werner Wachter was picked by Team 9 as the 870 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
266,Tomas Callahan was added to Team 12.,2022-07-23 6:49:28 PM,
267,Tomas Callahan was picked by Team 12 as the 871 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
268,Kurt Johnstone was added to Team 5.,2022-07-23 6:49:28 PM,
269,Kurt Johnstone was picked by Team 5 as the 872 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
270,Mohamad Bengtsson was added to Team 14.,2022-07-23 6:49:28 PM,
271,Mohamad Bengtsson was picked by Team 14 as the 873 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
272,Sigvard Sjoo was added to Team 18.,2022-07-23 6:49:28 PM,
273,Sigvard Sjoo was picked by Team 18 as the 874 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
274,Dick Hallqvist was added to Team 24.,2022-07-23 6:49:28 PM,
275,Dick Hallqvist was picked by Team 24 as the 875 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
276,Russ Stanton was added to Team 6.,2022-07-23 6:49:28 PM,
277,Russ Stanton was picked by Team 6 as the 876 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
278,Carl Johnson was added to Team 2.,2022-07-23 6:49:28 PM,
279,Carl Johnson was picked by Team 2 as the 877 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
280,Benedikt Leu was added to Team 22.,2022-07-23 6:49:28 PM,
281,Benedikt Leu was picked by Team 22 as the 878 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
282,Gordon Landry was added to Team 1.,2022-07-23 6:49:28 PM,
283,Gordon Landry was picked by Team 1 as the 879 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
284,Mike Fong was added to Team 19.,2022-07-23 6:49:28 PM,
285,Mike Fong was picked by Team 19 as the 880 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
286,Gabriel Mccarthy was added to Team 23.,2022-07-23 6:49:28 PM,
287,Gabriel Mccarthy was picked by Team 23 as the 881 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
288,Bob Carriere was added to Team 17.,2022-07-23 6:49:28 PM,
289,Bob Carriere was picked by Team 17 as the 882 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
290,Zdenek Vician was added to Team 15.,2022-07-23 6:49:28 PM,
291,Zdenek Vician was picked by Team 15 as the 883 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
292,Graham Chouinard was added to Team 3.,2022-07-23 6:49:28 PM,
293,Graham Chouinard was picked by Team 3 as the 884 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
294,Terrance Cooke was added to Team 7.,2022-07-23 6:49:28 PM,
295,Terrance Cooke was picked by Team 7 as the 885 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
296,Edward Barnes was added to Team 10.,2022-07-23 6:49:28 PM,
297,Edward Barnes was picked by Team 10 as the 886 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
298,Bruce Larsen was added to Team 16.,2022-07-23 6:49:28 PM,
299,Bruce Larsen was picked by Team 16 as the 887 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
300,Madi Geffroy was added to Team 13.,2022-07-23 6:49:28 PM,
301,Madi Geffroy was picked by Team 13 as the 888 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
302,Jaime Russo was added to Team 13.,2022-07-23 6:49:28 PM,
303,Jaime Russo was picked by Team 13 as the 889 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
304,Terrance Coleman was added to Team 16.,2022-07-23 6:49:28 PM,
305,Terrance Coleman was picked by Team 16 as the 890 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
306,Wesley Atkinson was added to Team 10.,2022-07-23 6:49:28 PM,
